id,code,name,reconcile,user_type_id/id,chart_template_id/id,note
account_234200,234200,應付公司債溢(折)價,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_235100,235100,長期銀行借款,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_235200,235200,長期借款－業主,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_235300,235300,長期借款－員工,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_235400,235400,長期借款－關係人,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_235500,235500,長期借款－其他,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_236100,236100,長期應付票據,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_236200,236200,長期應付帳款,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_236300,236300,應付租賃款－非流動,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_236400,236400,長期應付票據及款項－關係人,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_236500,236500,其他長期應付款項,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_237100,237100,虧損性合約之長期負債準備,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_237200,237200,除役、復原及修復成本之長期負債準備,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_237300,237300,保證合約之長期負債準備,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_237400,237400,保固之長期負債準備,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_238100,238100,遞延所得稅負債－土地增值稅,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_238200,238200,遞延所得稅負債－所得稅 ,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_239100,239100,遞延收入,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_239200,239200,存入保證金,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_239300,239300,業主(股東)往來,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,
account_239400,239400,同業往來,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_239500,239500,其他非流動負債－股份基礎給付,FALSE,account.data_account_type_non_current_liabilities,l10n_tw.tw_chart_template,非常用專案
account_311100,311100,普通股股本,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,
account_311200,311200,特別股股本,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_311300,311300,預收股本,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_311400,311400,待分配股票股利,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,非常用專案
account_321100,321100,資本公積－普通股股票溢價 ,FALSE,account.data_account_type_equity,l10n_tw.tw_chart_template,
